0 : 932085, 934876, 561813, 708177, 706771, 695756, 435345, 701258, 455537, 872728
1 : 413247, 413071, 706838, 880592, 249062, 400194, 942339, 880462, 987636, 941776
2 : 669835, 408764, 408462, 408855, 551661, 861882, 406273, 406324, 551743, 861530
3 : 970797, 125539, 48044, 191115, 889039, 546470, 123985, 546496, 207768, 831905
4 : 340871, 748397, 748193, 175336, 716433, 112586, 107281, 416604, 371420, 368246
5 : 187470, 67875, 220473, 460733, 896005, 27746, 943689, 669622, 947299, 515025
6 : 402219, 982379, 652078, 880346, 59540, 511412, 595673, 703786, 982409, 596714
7 : 906750, 618842, 807599, 569178, 107468, 207868, 476215, 762217, 762237, 5447
8 : 376328, 325865, 323160, 376277, 323464, 724549, 176970, 695175, 803977, 181435
9 : 178811, 177646, 181997, 181605, 821938, 807785, 716433, 358802, 803100, 866737
10 : 316210, 320547, 992617, 297239, 753170, 806980, 432201, 988918, 807092, 180642
11 : 4697, 762035, 824256, 672308, 689860, 824098, 609725, 609704, 910776, 923610
12 : 390776, 563997, 923810, 931688, 564008, 191546, 13183, 564079, 564042, 224306
13 : 522078, 134090, 596084, 795468, 565610, 988161, 868867, 522080, 861121, 990875
14 : 454220, 601274, 368880, 563664, 482225, 562464, 562875, 433429, 409216, 409300
15 : 970094, 409722, 969865, 918194, 332655, 106809, 43943, 806446, 502068, 234721
16 : 796844, 796217, 798456, 23370, 426178, 217222, 511690, 685252, 563318, 352400
17 : 394163, 882972, 117181, 724211, 803788, 579505, 865734, 862392, 862676, 481816
18 : 247250, 434884, 25262, 170737, 466326, 635668, 701657, 897908, 122907, 126762
19 : 222535, 272436, 193620, 258797, 394974, 921304, 868610, 905999, 226575, 629123
20 : 587404, 666481, 929092, 82246, 601801, 541161, 860624, 928637, 481713, 448233
21 : 4490, 4457, 440896, 105025, 30046, 214449, 214475, 234950, 337194, 566609
22 : 31629, 68360, 426465, 4957, 558357, 4784, 483146, 281276, 633279, 482791
23 : 364790, 686808, 363583, 452484, 931784, 452900, 526788, 219735, 176512, 290169
24 : 4630, 4554, 804007, 784790, 279489, 4623, 242430, 279275, 188771, 292781
25 : 719083, 87978, 292469, 814403, 381318, 514619, 514508, 292181, 814205, 465858
26 : 426883, 426756, 10021, 525190, 910741, 475114, 514206, 321539, 9899, 515955
27 : 291918, 955290, 5963, 955277, 278725, 363739, 291938, 176129, 717127, 176295
28 : 725057, 422521, 678265, 210568, 905060, 724824, 678649, 103965, 515173, 571604
29 : 5453, 555262, 555280, 556974, 793183, 792959, 640564, 678014, 638091, 715416
30 : 534527, 540700, 825845, 528396, 172473, 551649, 826344, 140175, 599948, 736536
31 : 5559, 4995, 4962, 5330, 4870, 401179, 401031, 703702, 401938, 749867
32 : 5300, 330332, 69173, 70085, 497454, 133114, 787559, 684695, 502522, 724669
33 : 995079, 994843, 676916, 994880, 996246, 676649, 615911, 39929, 100515, 646457
34 : 149480, 154168, 540894, 188171, 364563, 238380, 845487, 364021, 707409, 68317
35 : 5841, 5866, 6707, 845383, 392768, 76102, 791495, 641127, 393434, 15970
36 : 5842, 5867, 6708, 76101, 72420, 316027, 707838, 580180, 72336, 685009
37 : 5184, 35716, 808138, 33766, 107024, 925739, 745448, 4997, 441231, 190336
38 : 5023, 5500, 5177, 6187, 5341, 978240, 137232, 284610, 160369, 173565
39 : 720244, 477601, 750411, 690413, 415493, 587405, 869342, 689683, 458649, 23749
40 : 8307, 4773, 4867, 5214, 5163, 678598, 474658, 736313, 632378, 379937
41 : 672663, 950473, 995354, 543266, 304642, 807850, 832734, 924202, 877285, 779153
42 : 353533, 279441, 312344, 280744, 356305, 684403, 106646, 176619, 112971, 325817
43 : 6302, 5144, 698353, 698380, 323021, 695647, 903061, 700737, 113009, 178109
44 : 754244, 740214, 477919, 754136, 379564, 477668, 669498, 994393, 746174, 734963
45 : 339510, 341048, 103857, 175843, 339933, 780322, 21980, 826999, 482497, 827163
46 : 5880, 657906, 750523, 997994, 417152, 998162, 289779, 478548, 369606, 535790
47 : 676288, 88744, 575286, 112116, 395011, 866052, 138708, 389019, 5641, 129673
48 : 5213, 104988, 5750, 122253, 151333, 151236, 151506, 287220, 533961, 68544
49 : 5084, 189094, 79548, 789068, 168390, 79696, 789691, 5138, 79580, 296791
50 : 5653, 5012, 6627, 412765, 412388, 29422, 356987, 575049, 238731, 758834
51 : 6123, 6192, 571827, 571831, 863669, 774030, 86102, 898134, 56891, 405826
52 : 353210, 352562, 339633, 781593, 892861, 781199, 315815, 517274, 336721, 541539
53 : 351987, 233832, 339510, 8612, 323246, 745960, 745993, 459172, 101249, 862947
54 : 112794, 113250, 446585, 411892, 870851, 863411, 951184, 906435, 952895, 603713
55 : 228527, 235088, 38460, 39257, 683190, 38490, 39351, 38397, 583247, 427728
56 : 308262, 79553, 307829, 279070, 279393, 419768, 84208, 312604, 79528, 105292
57 : 966916, 556125, 5211, 966411, 469634, 214355, 225733, 916109, 562323, 469532
58 : 7237, 626572, 716064, 536562, 381601, 172684, 237441, 949157, 383164, 462136
